,Vaccinated Democrats,Vaccinated Republicans,Unvaccinated Democrats,Unvaccinated Republicans
"Greene, Arkansas",0.12171956775188447,0.3842804322481156,0.07973043224811555,0.41426956775188445
"Hempstead, Arkansas",0.21621320217847823,0.26278679782152176,0.11353679782152176,0.40746320217847826
"Hot Spring, Arkansas",0.14789724955856798,0.332102750441432,0.108402750441432,0.411597249558568
"Howard, Arkansas",0.272032481688261,0.40096751831173894,0.018317518311739,0.30868248168826107
"Independence, Arkansas",0.1128600869655609,0.36513991303443905,0.09623991303443911,0.4257600869655609
"Izard, Arkansas",0.06587554457187655,0.3461244554281235,0.12342445542812347,0.4645755445718765
"Jackson, Arkansas",0.1422467775315046,0.29575322246849534,0.1389032224684954,0.42309677753150465
"Jefferson, Arkansas",0.4109193972438574,0.0820806027561426,0.19763060275614264,0.30936939724385737
"Johnson, Arkansas",0.18658488444089888,0.3914151155591011,0.06836511555910113,0.3536348844408989
"Lafayette, Arkansas",0.2068626147121191,0.2651373852878809,0.1218373852878809,0.4061626147121191
"Lawrence, Arkansas",0.1403995046883822,0.40060049531161784,0.06175049531161782,0.3972495046883821
"Lee, Arkansas",0.3110330573707819,0.0649669426292181,0.2130169426292181,0.4109830573707819
"Lincoln, Arkansas",0.1313603836297989,0.2476396163702011,0.14963961637020112,0.4713603836297989
"Little River, Arkansas",0.1457796688854694,0.3222203311145305,0.11382033111453059,0.4181796688854694
"Logan, Arkansas",0.13644130509495733,0.4055586949050427,0.06585869490504263,0.39214130509495737
"Lonoke, Arkansas",0.16706380580067637,0.3849361941993237,0.06883619419932363,0.3791638058006763
"Madison, Arkansas",0.12580538559556004,0.37719461440443997,0.09564461440443993,0.4013553855955601
"Marion, Arkansas",0.08113620422482493,0.3298637957751751,0.13551379577517508,0.4534862042248249
"Miller, Arkansas",0.1145362022906542,0.2544637977093458,0.15326379770934584,0.47773620229065417
"Mississippi, Arkansas",0.244550226354599,0.246449773645401,0.144499773645401,0.364500226354599
"Monroe, Arkansas",0.3368465105980635,0.2861534894019365,0.09245348940193654,0.28454651059806346
"Montgomery, Arkansas",0.08025960758626463,0.3397403924137353,0.12084039241373537,0.4591596075862646
"Nevada, Arkansas",0.24064938295185567,0.27135061704814434,0.10195061704814434,0.38604938295185565
"Newton, Arkansas",0.0671313169360161,0.3258686830639839,0.12231868306398391,0.48468131693601607
"Ouachita, Arkansas",0.33504421339333057,0.29195578660666943,0.09750578660666942,0.2754942133933306
"Perry, Arkansas",0.17901587524712081,0.41698412475287905,0.054384124752879195,0.3496158752471209
"Phillips, Arkansas",0.4638370548069477,0.12516294519305227,0.13276294519305232,0.2782370548069477
"Pike, Arkansas",0.08933702330887316,0.40366297669112683,0.07211297669112682,0.4348870233088732
"Poinsett, Arkansas",0.13028555678427223,0.3937144432157278,0.07091444321572778,0.40508555678427216
"Polk, Arkansas",0.05540954950749877,0.35759045049250127,0.10369045049250125,0.4833095495074987
"Pope, Arkansas",0.1883542751908302,0.3766457248091697,0.05969572480916979,0.37530427519083026
"Prairie, Arkansas",0.11520852640271191,0.37979147359728815,0.0797914735972881,0.4252085264027118
"Pulaski, Arkansas",0.4925492305397987,0.15445076946020125,0.12000076946020127,0.2329992305397987
"Randolph, Arkansas",0.10195474230945113,0.3800452576905489,0.09419525769054886,0.4238047423094511
"St. Francis, Arkansas",0.40820068802535525,0.17579931197464466,0.11724931197464467,0.29875068802535537
"Saline, Arkansas",0.20549633170664314,0.35550366829335694,0.08825366829335689,0.3507463317066431
"Scott, Arkansas",0.1305219319373369,0.4364780680626631,0.02042806806266305,0.41257193193733693
"Searcy, Arkansas",0.06687637192010881,0.3801236280798912,0.08762362807989121,0.4653763719201087
"Sebastian, Arkansas",0.24278912773728367,0.3252108722627163,0.07996087226271631,0.35203912773728374
"Sevier, Arkansas",0.17052966054379937,0.3874703394562006,0.06342033945620063,0.37857966054379943
"Sharp, Arkansas",0.08735413515567773,0.35564586484432215,0.11264586484432228,0.4443541351556779
"Stone, Arkansas",0.07660057861804959,0.33939942138195034,0.13404942138195042,0.44995057861804966
"Union, Arkansas",0.26256185555160044,0.3104381444483995,0.09008814444839958,0.33691185555160047
"Van Buren, Arkansas",0.11830563634037977,0.3626943636596204,0.09724436365962025,0.42175563634037966
"Washington, Arkansas",0.3632080388218164,0.2517919611781836,0.11729196117818357,0.2677080388218165
"White, Arkansas",0.1312120901435614,0.3827879098564386,0.07408790985643861,0.41191209014356134
"Woodruff, Arkansas",0.30147049063444137,0.3515295093655586,0.05977950936555859,0.2872204906344414
"Yell, Arkansas",0.16132545410394666,0.4066745458960533,0.04627454589605334,0.3857254541039467
"Alameda, California",0.7460318756774067,0.11396812432259323,0.06496812432259319,0.07503187567740682
"Alpine, California",0.477198410102725,0.14340151541531088,0.17935158989727495,0.20004848458468916
"Amador, California",0.2849674314022064,0.31503256859779355,0.09373256859779357,0.3062674314022064
"Butte, California",0.394127125787735,0.19887287421226502,0.11422287421226501,0.292777125787735
"Calaveras, California",0.322127427893877,0.385872572106123,0.05922257210612297,0.23277742789387706
"Colusa, California",0.40510725841224193,0.3088927415877581,0.011992741587758038,0.2740072584122419
"Contra Costa, California",0.7017770063623785,0.1772229936376214,0.02487299363762141,0.09612700636237859
"Del Norte, California",0.263368813481927,0.21763118651807312,0.15878118651807305,0.36021881348192686
"El Dorado, California",0.4059692679345608,0.28303073206543927,0.05003073206543922,0.26096926793456077
"Fresno, California",0.4754489588409663,0.23955104115903375,0.0637010411590338,0.22129895884096623
"Glenn, California",0.31482333219647407,0.33517666780352595,0.0493766678035259,0.3006233321964741
"Humboldt, California",0.5561251190707087,0.15187488092929124,0.10947488092929125,0.18252511907070879
"Imperial, California",0.6455131240218878,0.3024868759781122,-0.02366312402188775,0.0756631240218878
"Inyo, California",0.3922417770922184,0.24690872320532797,0.10850822290778162,0.252341276794672
"Kern, California",0.3705016149580479,0.2504983850419521,0.07849838504195213,0.30050161495804784
"Kings, California",0.3576007917374373,0.17939920826256278,0.08114920826256272,0.38185079173743725
"Lake, California",0.4268107499450444,0.24918925005495546,0.10458925005495551,0.21941074994504456
"Lassen, California",0.13184020519554612,0.2941597948044538,0.11200979480445389,0.4619902051955462
"Los Angeles, California",0.6487915054440498,0.12920849455595018,0.07205849455595015,0.14994150544404983
"Madera, California",0.37191566418707367,0.24908433581292633,0.0702843358129263,0.30871566418707375
"Marin, California",0.7893274425290524,0.13167255747094747,0.04337255747094754,0.03562744252905253
"Mariposa, California",0.3015217081815004,0.30379284460246564,0.10792829181849956,0.2867571553975344
"Mendocino, California",0.5542925817966462,0.20070741820335386,0.1247074182033539,0.12029258179664609
"Merced, California",0.4468828492075205,0.18311715079247953,0.1058171507924795,0.2641828492075205
"Modoc, California",0.26695101376473906,0.37442691210806367,0.00874898623526095,0.3498730878919363
"Mono, California",0.398260090970993,0.22974118170738222,0.21303990902900694,0.15895881829261782
"Monterey, California",0.6289522329390049,0.1600477670609951,0.0774477670609951,0.13355223293900487
"Napa, California",0.6155752319306136,0.20642476806938653,0.08637476806938643,0.0916252319306135
"Nevada, California",0.43586828840374947,0.24513171159625052,0.13808171159625054,0.18091828840374952
"Orange, California",0.5457921596750617,0.24020784032493825,-0.0005921596750616542,0.21459215967506173
"Placer, California",0.4300010618880391,0.3109989381119609,0.03679893811196089,0.22220106188803912
"Plumas, California",0.3301865479081869,0.30979043039381504,0.08616345209181309,0.27385956960618496
"Riverside, California",0.45610073924660677,0.20889926075339316,0.08359926075339319,0.2514007392466069
"Sacramento, California",0.5555116209834815,0.18848837901651866,0.07073837901651853,0.18526162098348137
"San Benito, California",0.52414606564641,0.20585393435359,0.09790393435359002,0.17209606564641
"San Bernardino, California",0.4485946741938591,0.20940532580614085,0.10470532580614095,0.23729467419385913
"San Diego, California",0.5200342598557472,0.14496574014425279,0.09371574014425277,0.2412842598557472
"San Francisco, California",0.7982454834192991,0.058754516580700855,0.0644545165807009,0.07854548341929912
"San Joaquin, California",0.5085171543985605,0.2314828456014395,0.06058284560143945,0.19941715439856056
"San Luis Obispo, California",0.45538277607709166,0.1866172239229083,0.10996722392290831,0.24803277607709168
"San Mateo, California",0.7423026729732751,0.13869732702672477,0.04614732702672486,0.07285267297327525
"Santa Barbara, California",0.5963910981476306,0.18060890185236927,0.06305890185236934,0.15994109814763074
"Santa Clara, California",0.7248055048450828,0.1941944951549172,0.012244495154917268,0.0687555048450828
"Santa Cruz, California",0.7002745429947972,0.12672545700520282,0.09947545700520272,0.07352454299479722
"Shasta, California",0.2602733121395111,0.31372668786048885,0.07407668786048893,0.3519233121395111
"Sierra, California",0.28063786170482635,0.33963560917377467,0.11356213829517364,0.2661643908262253
"Siskiyou, California",0.3339668024778366,0.2800331975221634,0.0872831975221634,0.2987168024778366
"Solano, California",0.5586271509736777,0.17337284902632233,0.0920728490263224,0.17592715097367762
"Sonoma, California",0.6608153626292945,0.1681846373707056,0.0965846373707056,0.07441536262929432
"Stanislaus, California",0.42938461044132703,0.2836153895586729,0.07451538955867293,0.2124846104413271
"Sutter, California",0.3670037120163441,0.3309962879836559,0.05084628798365594,0.25115371201634407
"Tehama, California",0.2169506582021713,0.2740493417978287,0.10504934179782865,0.40395065820217135
"Trinity, California",0.3477991071909666,0.26230980480015276,0.12560089280903336,0.2642901951998472
"Tulare, California",0.3728553606390953,0.2671446393609047,0.08804463936090468,0.2719553606390953
"Tuolumne, California",0.3311369417637587,0.3338630582362414,0.07496305823624133,0.26003694176375863
"Ventura, California",0.5586674436688424,0.23333255633115768,0.04678255633115769,0.16121744366884228
"Yolo, California",0.6047242674499751,0.13927573255002507,0.1024257325500249,0.153574267449975
"Yuba, California",0.3238244432091713,0.2961755567908287,0.06802555679082872,0.3119744432091713
"Adams, Colorado",0.5115028842806816,0.26449711571931833,0.06989711571931845,0.15410288428068164
"Alamosa, Colorado",0.39662097586840384,0.254379024131596,0.09992902413159611,0.24907097586840393
"Arapahoe, Colorado",0.5536400998219847,0.19335990017801524,0.06955990017801522,0.18344009982198478
"Archuleta, Colorado",0.33222453999221324,0.3107754600077868,0.08842546000778673,0.26857453999221326
"Baca, Colorado",0.10182067718207838,0.37217932281792165,0.04987932281792162,0.4761206771820784
"Bent, Colorado",0.13559421977400776,0.14340578022599215,0.19490578022599225,0.5260942197740078
"Boulder, Colorado",0.7325109584212304,0.09548904157876964,0.05033904157876973,0.12166095842123031
"Broomfield, Colorado",0.5667386569321156,0.31126134306788444,0.07031134306788445,0.05168865693211555
"Chaffee, Colorado",0.4007724746361374,0.2892275253638625,0.13337752536386255,0.1766224746361375
"Cheyenne, Colorado",0.0280000907063484,0.3869999092936516,0.09259990929365158,0.4924000907063484
"Clear Creek, Colorado",0.3900064813576639,0.13299351864233622,0.17489351864233604,0.3021064813576638
"Conejos, Colorado",0.33721413236111397,0.23678586763888593,0.12503586763888597,0.300964132361114
"Costilla, Colorado",0.5219461017131806,0.15805389828681948,0.11415389828681943,0.20584610171318052
"Crowley, Colorado",0.048831229826808015,0.17716877017319202,0.21286877017319197,0.561131229826808
"Custer, Colorado",0.20037789489030838,0.32562210510969164,0.1122721051096916,0.3617278948903084
"Delta, Colorado",0.22381605967283252,0.3271839403271675,0.0904839403271675,0.35851605967283245
"Denver, Colorado",0.7244966048687695,0.09150339513123035,0.08230339513123036,0.10169660486876969
"Dolores, Colorado",0.1299093528419733,0.3540906471580267,0.11194064715802671,0.4040593528419733
"Douglas, Colorado",0.4290639662489295,0.3899360337510705,0.03508603375107046,0.14591396624892944
"Eagle, Colorado",0.6490476432390511,0.2629523567609489,0.00015235676094887962,0.08784764323905109
"Elbert, Colorado",0.13448015453070405,0.291519845469296,0.11431984546929597,0.459680154530704
"El Paso, Colorado",0.4282722951635718,0.2867277048364281,0.017777704836428168,0.2672222951635718
"Fremont, Colorado",0.19699220055937766,0.2880077994406223,0.10445779944062233,0.4105422005593777
"Garfield, Colorado",0.4480860676094889,0.28991393239051105,0.06341393239051102,0.198586067609489
"Gilpin, Colorado",0.41424474402070044,0.20475525597929956,0.13235525597929954,0.24864474402070047
"Grand, Colorado",0.39433778066933156,0.2946622193306685,0.09691221933066844,0.21408778066933154
"Gunnison, Colorado",0.5791146012075244,0.1678853987924755,0.07268539879247543,0.18031460120752457
"Hinsdale, Colorado",0.37247695994004615,0.31452304005995396,0.050023040059953894,0.26297695994004605
"Huerfano, Colorado",0.357184560868144,0.24481543913185594,0.12841543913185594,0.26958456086814403
"Jackson, Colorado",0.1336989982634783,0.3703010017365217,0.0775010017365217,0.41849899826347825
"Jefferson, Colorado",0.5545578524395824,0.2874421475604177,0.03819214756041761,0.11980785243958231
"Kiowa, Colorado",0.0416449761778116,0.42235502382218837,0.07240502382218839,0.46359497617781165
"Kit Carson, Colorado",0.10853829513192176,0.3644617048680782,0.07086170486807825,0.45613829513192183
"Lake, Colorado",0.4876503655239939,0.175349634476006,0.11409963447600607,0.222900365523994
"La Plata, Colorado",0.5409226022921504,0.2270773977078498,0.04757739770784969,0.18442260229215018
"Larimer, Colorado",0.5171728985965252,0.22082710140347478,0.060027101403474836,0.20197289859652517
"Las Animas, Colorado",0.3853866324454547,0.29961336755454543,0.06521336755454538,0.24978663244545457
"Lincoln, Colorado",0.08825148694813251,0.3267485130518675,0.0976985130518675,0.48730148694813247
"Logan, Colorado",0.13035010899901395,0.29664989100098615,0.09099989100098604,0.4820001089990139
"Mesa, Colorado",0.2652669963568449,0.30173300364315514,0.09483300364315506,0.3381669963568449
"Mineral, Colorado",0.43093452814593913,0.4710654718540609,-0.0036845281459391144,0.10168452814593909
"Moffat, Colorado",0.1310127430588007,0.39598725694119935,0.0510872569411993,0.4219127430588007
"Montezuma, Colorado",0.357981347733736,0.34801865226626394,0.030068652266263984,0.26393134773373605
"Montrose, Colorado",0.2417523379996419,0.31424766200035814,0.07599766200035807,0.3680023379996419
"Morgan, Colorado",0.24018037283420568,0.3358196271657944,0.051819627165794316,0.3721803728342056
"Otero, Colorado",0.3218925550490618,0.26210744495093824,0.06580744495093825,0.3501925550490618
"Ouray, Colorado",0.4576703583747148,0.23532964162528514,0.14032964162528516,0.1666703583747149
"Park, Colorado",0.2549858716964722,0.2570141283035278,0.16006412830352784,0.32793587169647215
"Phillips, Colorado",0.18936531311571597,0.443634686884284,0.014484686884284004,0.352515313115716
"Pitkin, Colorado",0.6855138405270873,0.18148615947291258,0.07413615947291252,0.058863840527087485
"Prowers, Colorado",0.20071209037303928,0.31528790962696074,0.07003790962696073,0.4139620903730392
"Pueblo, Colorado",0.4293649569928646,0.21563504300713537,0.07923504300713541,0.2757649569928646
"Rio Blanco, Colorado",0.06551459491550926,0.4004854050844908,0.09583540508449073,0.4381645949155092
"Rio Grande, Colorado",0.3595318949997425,0.3564681050002575,0.04806810500025753,0.23593189499974254
"Routt, Colorado",0.5620571025371552,0.24294289746284486,0.07589289746284483,0.11910710253715512
"Saguache, Colorado",0.30404646605253216,0.10895353394746776,0.26545353394746785,0.32154646605253223
"San Juan, Colorado",0.5704157096236944,0.3795842903763056,0.05413429037630557,-0.004134290376305527
"San Miguel, Colorado",0.6790727357633412,0.19692726423665874,0.09177726423665888,0.032222735763341226
"Sedgwick, Colorado",0.1760047709792852,0.4219952290207148,0.04049522902071477,0.3615047709792853
"Summit, Colorado",0.6629031040072442,0.2440968959927559,0.034846895992755866,0.058153104007244105
"Teller, Colorado",0.25751032590866085,0.3384896740913391,0.0664896740913391,0.3375103259086609
"Washington, Colorado",0.021327647298574448,0.34967235270142555,0.10867235270142556,0.5203276472985745
"Weld, Colorado",0.37205597009956837,0.33094402990043165,0.03784402990043166,0.2591559700995684
"Yuma, Colorado",0.14131220919787885,0.4056877908021212,0.02523779080212113,0.42776220919787883
"Fairfield, Connecticut",0.6514322221368551,0.22856777786314486,-0.015632222136855112,0.1356322221368551
"Hartford, Connecticut",0.612536641921103,0.21146335807889705,0.025813358078896953,0.15018664192110298
"Litchfield, Connecticut",0.47062844472378496,0.34537155527621505,0.004121555276215105,0.17987844472378495
"Middlesex, Connecticut",0.5857159977942705,0.3012840022057295,-0.004165997794270515,0.1171659977942705
"New Haven, Connecticut",0.5916115861386061,0.24638841386139393,-0.004611586138606072,0.1666115861386061
"New London, Connecticut",0.568649153226614,0.289350846773386,0.011400846773385986,0.13059915322661403
"Tolland, Connecticut",0.4888738130033017,0.21912618699669834,0.06812618699669842,0.2238738130033016
"Windham, Connecticut",0.404257940787077,0.29774205921292307,0.07434205921292303,0.2236579407870769
"Kent, Delaware",0.4170311143726111,0.20396888562738896,0.10331888562738895,0.27568111437261106
"New Castle, Delaware",0.5953518710047006,0.15164812899529934,0.09009812899529934,0.16290187100470066
"Sussex, Delaware",0.43080191256105904,0.31719808743894107,0.012948087438940936,0.23905191256105895
"District of Columbia, District of Columbia",0.7746316955387593,-0.031631695538759275,0.1591183044612408,0.0978816955387592
"Alachua, Florida",0.5365905634135006,0.18140943658649916,0.09880943658649927,0.18319056341350087
