,Vaccinated Democrats,Vaccinated Republicans,Unvaccinated Democrats,Unvaccinated Republicans
"AK 5regions: ANC, Alaska",0.47370500282049177,0.2482949971795082,0.036494997179508215,0.2415050028204918
"AK 5regions: GFB, Alaska",0.281432819295826,0.30906718070417405,0.06851287340015406,0.34098712659984587
"AK 5regions: JUN, Alaska",0.47302410739898115,0.271198114823241,0.07783176146851084,0.17794601630926704
"AK 5regions: KP, Alaska",0.334846636530017,0.36515336346998306,0.017267958696936647,0.2827320413030633
"AK 5regions: WST, Alaska",0.5061579599376894,0.21974204006231046,0.07051742551290774,0.20358257448709238
"Autauga, Alabama",0.16642736254334445,0.3065726374566554,0.11147263745665559,0.41552736254334455
"Baldwin, Alabama",0.20344943163394927,0.37655056836605066,0.027750568366050735,0.39224943163394926
"Barbour, Alabama",0.32405034393668175,0.18394965606331826,0.13764965606331825,0.35435034393668174
"Bibb, Alabama",0.08553864674568173,0.3084613532543182,0.12581135325431825,0.48018864674568185
"Blount, Alabama",-0.0032436450570821895,0.3732436450570822,0.10324364505708217,0.5267563549429178
"Bullock, Alabama",0.5493439439475536,0.018656056052446357,0.19995605605244637,0.23204394394755368
"Butler, Alabama",0.2607241262882948,0.19727587371170519,0.16057587371170523,0.3814241262882948
"Calhoun, Alabama",0.21902813994884485,0.3339718600511551,0.08597186005115513,0.361028139948845
"Chambers, Alabama",0.20990562676191332,0.15009437323808672,0.21194437323808668,0.4280556267619132
"Cherokee, Alabama",0.015583490359783181,0.3484165096402168,0.12026650964021685,0.5157334903597832
"Chilton, Alabama",0.058252128177881224,0.37174787182211877,0.10479787182211875,0.4652021281778813
"Choctaw, Alabama",0.39236967746615403,0.36763032253384587,0.02928032253384588,0.2107196774661541
"Clarke, Alabama",0.32326787135005,0.26973212864995,0.11698212864995006,0.29001787135004997
"Clay, Alabama",0.10468096674382688,0.3913190332561731,0.08261903325617315,0.42138096674382686
"Cleburne, Alabama",-0.00799396606981756,0.3849939660698175,0.10609396606981758,0.5169060339301824
"Coffee, Alabama",0.142927785384655,0.3340722146153451,0.091672214615345,0.431327785384655
"Colbert, Alabama",0.21382198647558687,0.3391780135244131,0.09147801352441315,0.3555219864755869
"Conecuh, Alabama",0.2995662238389253,0.1914337761610746,0.16348377616107468,0.34551622383892544
"Coosa, Alabama",0.17889924466013912,0.27010075533986094,0.1536507553398609,0.39734924466013904
"Covington, Alabama",0.07841497038006787,0.3735850296199321,0.08123502961993215,0.4667649703800678
"Crenshaw, Alabama",0.1073195869445801,0.3006804130554199,0.15358041305541992,0.43841958694458005
"Cullman, Alabama",0.04193939998447893,0.41406060001552103,0.07096060001552107,0.47303939998447897
"Dale, Alabama",0.2518009343862534,0.3951990656137466,0.01684906561374662,0.3361509343862533
"Dallas, Alabama",0.4866447862744332,0.04435521372556689,0.20105521372556684,0.26794478627443313
"DeKalb, Alabama",0.045403372058272384,0.36059662794172764,0.10564662794172763,0.48835337205827234
"Elmore, Alabama",0.1872422798573971,0.3397577201426029,0.07150772014260293,0.40149227985739705
"Escambia, Alabama",0.1748808033823967,0.2581191966176033,0.1380691966176033,0.42893080338239664
"Etowah, Alabama",0.14925414030253886,0.3307458596974611,0.09974585969746114,0.4202541403025389
"Fayette, Alabama",0.052178698268532775,0.35282130173146725,0.11097130173146724,0.48402869826853273
"Franklin, Alabama",0.11441157143414021,0.4145884285658598,0.05603842856585978,0.4149615714341402
"Geneva, Alabama",0.06307002266347406,0.3969299773365259,0.06812997733652593,0.4718700226634741
"Greene, Alabama",0.6148593390762805,-0.03385933907628058,0.2002406609237194,0.21875933907628065
"Hale, Alabama",0.4953638338625431,0.21363616613745695,0.09773616613745684,0.1932638338625431
"Henry, Alabama",0.194413992407918,0.333586007592082,0.090436007592082,0.38156399240791794
"Houston, Alabama",0.20191218564510346,0.3090878143548966,0.08478781435489656,0.4042121856451035
"Jackson, Alabama",0.1336757568061352,0.43232424319386487,0.02887424319386478,0.40512575680613516
"Jefferson, Alabama",0.47110176105797286,0.19089823894202712,0.09464823894202706,0.2433517610579729
"Lamar, Alabama",0.08800200067758558,0.42799799932241445,0.05084799932241439,0.43315200067758564
"Lauderdale, Alabama",0.18903490280807023,0.3389650971919298,0.0876150971919298,0.38438490280807014
"Lawrence, Alabama",0.16617287027239802,0.39082712972760203,0.06062712972760198,0.38237287027239797
"Lee, Alabama",0.2607008327841759,0.17829916721582417,0.13879916721582408,0.42220083278417586
"Limestone, Alabama",0.14513789066076277,0.28486210933923717,0.14191210933923726,0.4280878906607628
"Lowndes, Alabama",0.5256329053014517,0.039367094698548266,0.20376709469854837,0.23123290530145169
"Macon, Alabama",0.5886843572586774,-0.07168435725867744,0.23041564274132248,0.2525843572586775
"Madison, Alabama",0.42541820418834686,0.2645817958116531,0.034831795811653146,0.27516820418834687
"Marengo, Alabama",0.40340503911376,0.23359496088624,0.10324496088624002,0.25975503911375997
"Marion, Alabama",0.033140813365578614,0.3968591866344213,0.07785918663442137,0.4921408133655787
"Marshall, Alabama",0.13229089736044403,0.4217091026395559,0.02415910263955595,0.4218408973604441
"Mobile, Alabama",0.3470699804604054,0.23193001953959463,0.09353001953959467,0.3274699804604054
"Monroe, Alabama",0.2772195741891861,0.22778042581081387,0.14348042581081388,0.35151957418918606
"Montgomery, Alabama",0.5252562981307507,0.09374370186924935,0.13219370186924934,0.24880629813075067
"Morgan, Alabama",0.17670902344584466,0.34029097655415536,0.07729097655415534,0.40570902344584464
"Perry, Alabama",0.5052000251412392,0.043799974858760804,0.23579997485876086,0.2152000251412392
"Pickens, Alabama",0.29193774672448636,0.2670622532755136,0.12676225327551366,0.31423774672448634
"Pike, Alabama",0.26174204322993755,0.20225795677006242,0.15135795677006247,0.38464204322993756
"Randolph, Alabama",0.08481559820473195,0.3121844017952681,0.12193440179526804,0.48106559820473194
"Russell, Alabama",0.3303599099427461,0.1396400900572538,0.20159009005725387,0.32840990994274616
"St. Clair, Alabama",0.08962433628737931,0.37137566371262076,0.09062566371262071,0.4483743362873792
"Shelby, Alabama",0.15080319436043504,0.262196805639565,0.147246805639565,0.439753194360435
"Sumter, Alabama",0.5423259511262177,0.015674048873782154,0.20007404887378216,0.2419259511262179
"Talladega, Alabama",0.20454508968293666,0.22145491031706332,0.16790491031706334,0.4060950896829367
"Tallapoosa, Alabama",0.15733894997537134,0.2926610500246286,0.12581105002462867,0.4241889499753714
"Tuscaloosa, Alabama",0.28767857365906246,0.20732142634093764,0.1382714263409376,0.3667285736590623
"Walker, Alabama",0.12415476737022402,0.43784523262977604,0.036295232629775964,0.401704767370224
"Washington, Alabama",0.18612700351178646,0.3598729964882136,0.07132299648821354,0.38267700351178646
"Wilcox, Alabama",0.5168687420904636,0.10513125790953637,0.17078125790953635,0.20721874209046365
"Winston, Alabama",-0.06425911973714832,0.32325911973714827,0.1556591197371483,0.5853408802628518
"Apache, Arizona",0.7035376663893462,0.24646233361065384,-0.035487666389346084,0.08548766638934613
"Cochise, Arizona",0.3777555734008551,0.329244426599145,0.024794426599144923,0.26820557340085505
"Coconino, Arizona",0.57260695322752,0.25539304677248,0.04719304677248004,0.12480695322752
"Gila, Arizona",0.3169627170681953,0.34103728293180463,0.012937282931804683,0.3290627170681954
"Graham, Arizona",0.3023737062469125,0.44062629375308754,-0.025773706246912456,0.2827737062469125
"Greenlee, Arizona",0.22223852767050267,0.31276147232949736,0.10851147232949732,0.35648852767050265
"La Paz, Arizona",0.2186506433993578,0.2963493566006422,0.0877993566006422,0.3972006433993578
"Maricopa, Arizona",0.42797217382788655,0.21802782617211336,0.08287782617211348,0.2711221738278866
"Mohave, Arizona",0.16100384139120577,0.3009961586087942,0.08294615860879423,0.4550538413912058
"Navajo, Arizona",0.4452927735030652,0.3517072264969349,0.01355722649693486,0.1894427735030651
"Pima, Arizona",0.532137352529168,0.2108626474708319,0.060962647470831854,0.19603735252916815
"Pinal, Arizona",0.33903372986018654,0.26196627013981344,0.07476627013981345,0.3242337298601866
"Santa Cruz, Arizona",0.6936780183047055,0.25632198169529435,-0.016328018304705594,0.06632801830470564
"Yavapai, Arizona",0.2536602793946862,0.2613397206053138,0.10038972060531376,0.3846102793946862
"Yuma, Arizona",0.44595157019495957,0.31504842980504033,0.02319842980504043,0.2158015701949597
"Arkansas, Arkansas",0.2985831628680229,0.347416837131977,0.056966837131977144,0.29703316286802295
"Ashley, Arkansas",0.21307942716181283,0.36392057283818724,0.0709705728381872,0.35202942716181274
"Baxter, Arkansas",0.14906407727003101,0.380935922729969,0.084335922729969,0.38566407727003094
"Benton, Arkansas",0.2803580172583461,0.3226419827416539,0.08739198274165394,0.3096080172583461
"Boone, Arkansas",0.07639002301990983,0.3636099769800901,0.11425997698009016,0.4457400230199099
"Bradley, Arkansas",0.3101330611437559,0.35286693885624404,0.036466938856244135,0.30053306114375594
"Calhoun, Arkansas",0.10110672663450243,0.3148932733654976,0.13374327336549757,0.4502567266345024
"Carroll, Arkansas",0.2341971233218908,0.31880287667810914,0.1216528766781092,0.32534712332189086
"Chicot, Arkansas",0.4517086869895458,0.1842913130104542,0.11019131301045415,0.25380868698954584
"Clark, Arkansas",0.27568401657938957,0.26031598342061046,0.15411598342061045,0.3098840165793896
"Clay, Arkansas",0.13125207225680352,0.3937479277431965,0.06739792774319647,0.4076020722568035
"Cleburne, Arkansas",0.09793713521659381,0.39506286478340635,0.07321286478340622,0.4337871352165937
"Cleveland, Arkansas",0.16312388104796405,0.43587611895203593,0.02907611895203592,0.37192388104796414
"Columbia, Arkansas",0.26150041779577726,0.28149958220422266,0.08264958220422274,0.3743504177957774
"Conway, Arkansas",0.2466474093198776,0.3633525906801224,0.07610259068012237,0.31389740931987764
"Craighead, Arkansas",0.21440437681674956,0.30659562318325045,0.1084956231832504,0.3705043768167496
"Crawford, Arkansas",0.14917973496615883,0.38382026503384115,0.06752026503384118,0.3994797349661589
"Crittenden, Arkansas",0.38778556071519854,0.14221443928480149,0.14831443928480148,0.3216855607151985
"Cross, Arkansas",0.22466697796881197,0.375333022031188,0.04673302203118801,0.353266977968812
"Dallas, Arkansas",0.33252281067073347,0.30647718932926654,0.052327189329266555,0.30867281067073343
"Desha, Arkansas",0.44113850158154966,0.2528614984184504,0.07026149841845031,0.23573850158154963
"Drew, Arkansas",0.24735843532681467,0.29264156467318536,0.11344156467318534,0.34655843532681463
"Faulkner, Arkansas",0.2489310286074877,0.29806897139251237,0.10341897139251231,0.3495810286074877
"Franklin, Arkansas",0.1479732881128788,0.41202671188712126,0.04507671188712119,0.3949232881128788
"Fulton, Arkansas",0.057685962519049644,0.31431403748095044,0.15651403748095036,0.4714859625190496
"Garland, Arkansas",0.2149408339202404,0.2900591660797596,0.11510916607975961,0.3798908339202404
"Grant, Arkansas",0.11652826564908027,0.4254717343509198,0.046521734350919705,0.4114782656490803
